id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
582095,Job_Test_Control-M,702,12990,58598,2026-04-09 10:10:01.008875+00:00,2026-04-24 09:40:07.491056+00:00,,,,,,"[""dbt build""]","{""threads"": 4, ""target_name"": ""default""}"
668415,AGOS_L1_E_BANCO_CNT_CAMPAGNA [[AGOS_L1_E_BANCO_CNT_CAMPAGNA]],702,12990,58598,2026-06-09 13:58:21.830821+00:00,2026-06-30 09:37:24.129670+00:00,L1,BANCO,,,CNT_CAMPAGNA,"[""dbt build --select +cnt_campagna""]","{""threads"": 2, ""target_name"": ""default""}"
668460,AGOS_L1_O_CAR_CACHFPACT [[AGOS_L1_O_CAR_CACHFPACT]],702,12990,58598,2026-06-09 14:07:55.504542+00:00,2026-07-24 12:55:54.359726+00:00,L1,OCS,XCA,,CACHFPACT,"[""dbt build --select +cachfpact""]","{""threads"": 2, ""target_name"": ""default""}"
668461,AGOS_L2_SWORD_ORG_TRANSACT [[AGOS_L2_SWORD_ORG_TRANSACT]],702,12990,58598,2026-06-09 14:07:56.948669+00:00,2026-06-30 09:37:48.301876+00:00,L2,,,SWORD,ORG_TRANSACT,"[""dbt build --select org_transact""]","{""threads"": 2, ""target_name"": ""default""}"
668462,AGOS_L1_O_FMP_OXTBFLIC [[AGOS_L1_O_FMP_OXTBFLIC]],702,12990,58598,2026-06-09 14:07:57.289597+00:00,2026-07-24 12:56:12.717420+00:00,L1,OCS,XFM,,OXTBFLIC,"[""dbt build --select +oxtbflic""]","{""threads"": 2, ""target_name"": ""default""}"
668463,AGOS_L1_O_CAR_CACAFSC [[AGOS_L1_O_CAR_CACAFSC]],702,12990,58598,2026-06-09 14:07:58.301321+00:00,2026-07-24 12:57:50.198326+00:00,L1,OCS,XCA,,CACAFSC,"[""dbt build --select +cacafsc""]","{""threads"": 2, ""target_name"": ""default""}"
668464,AGOS_L1_O_CNT_CGTBFCOT [[AGOS_L1_O_CNT_CGTBFCOT]],702,12990,58598,2026-06-09 14:07:59.127368+00:00,2026-07-24 12:58:21.055673+00:00,L1,OCS,XCN,,CGTBFCOT,"[""dbt build --select +cgtbfcot""]","{""threads"": 2, ""target_name"": ""default""}"
668465,AGOS_L1_O_CMN_OXSOFTAC [[AGOS_L1_O_CMN_OXSOFTAC]],702,12990,58598,2026-06-09 14:08:00.273784+00:00,2026-07-24 12:57:26.844078+00:00,L1,OCS,XCM,,OXSOFTAC,"[""dbt build --select +oxsoftac""]","{""threads"": 2, ""target_name"": ""default""}"
668466,AGOS_L1_O_SDS_OXDRFSDR [[AGOS_L1_O_SDS_OXDRFSDR]],702,12990,58598,2026-06-09 14:08:01.377539+00:00,2026-06-30 09:37:05.747593+00:00,L1,OCS,SDS,,OXDRFSDR,"[""dbt build --select +oxdrfsdr""]","{""threads"": 2, ""target_name"": ""default""}"
668467,AGOS_L1_O_CMN_CNGSFEAL [[AGOS_L1_O_CMN_CNGSFEAL]],702,12990,58598,2026-06-09 14:08:03.112218+00:00,2026-07-24 12:58:11.987262+00:00,L1,OCS,XCM,,CNGSFEAL,"[""dbt build --select +cngsfeal""]","{""threads"": 2, ""target_name"": ""default""}"
